NewsInTamil,CategoryInTamil
தருமபுரியில் கடுமையான பனிப் பொழிவு  வாகன ஓட்டிகள் அவதி, தமிழ்நாடு
மன்னார்குடியில் அமோகமாக மது விற்பனை கண்டுகொள்ளாத காவல்துறை, தமிழ்நாடு
பயங்கரவாதிகளின் தந்தை திலகர் 8ம் வகுப்பு பாடப் புத்தகத்தால் சர்ச்சை, இந்தியா
நியாயவிலைக் கடை ஊழியர்கள் இன்று முதல் வேலைநிறுத்தம், தமிழ்நாடு
18 எம்.எல்.ஏக்கள் தகுதி நீக்க வழக்கு  காலை 10.30 மணிக்கு தீர்ப்பு !, தமிழ்நாடு
ஆசிரியருக்கு மசாஜ் செய்யும் மாணவன் வைரலாகும் வீடியோ, தமிழ்நாடு
சித்தாள் வேலை பார்க்கிறார் யோகாவில் தங்கம் வென்ற வீராங்கனை, இந்தியா
கருணாநிதி நலம் குறித்து விசாரிக்க நடிகர் விஜய் காவேரி மருத்துவமனை வருகை, தமிழ்நாடு
"எம்ஜிஆர், கருணாநிதி நட்பை ஸ்டாலின் மறக்கக்கூடாது  தம்பிதுரை அழைப்பு", தமிழ்நாடு
குழந்தையை கொலைவெறியுடன் தாக்கும் தாய்..குடும்பத் தகராறால் விபரீதம், இந்தியா
அதற்காக வருத்தப்பட்டார் பொல்லார்ட் ரோகித் சர்மா, விளையாட்டு
அவர் இங்க படிக்கவே இல்லையே  அதிர்ச்சி கொடுத்த திருவள்ளூர் பல்கலைக்கழகம், இந்தியா
சேர்ந்து வாழ எங்களுக்கு ஆசை.. கொன்று விடாதீர்கள்..கேரள இளம் தம்பதி உருக்கம்..!, இந்தியா
ரஜினியின் 2.ஓ ரிலீஸ் தள்ளிப்போனது ஏன்?, சினிமா
"ஐபிஎல் 2019 அணி மாறும் வீரர்கள், ஏலத்துக்கு முன்பே தொடங்கியது போட்டி!", விளையாட்டு
இருமுறை சிற்றுந்து மோதியும் தப்பிய நபர் வீடியோ, உலகம்
துப்பாக்கிச்சூடு  தூத்துக்குடி துணை வட்டாட்சியர்கள் பணியிடமாற்றம், தமிழ்நாடு
"ரூ.1,000 நோட்டுகளை திரும்ப கொண்டுவர வேண்டும்  ஆய்வில் முடிவு", இந்தியா
கர்நாடகாவில் 11 மணி நிலவரப்படி 24 வாக்குப்பதிவு, இந்தியா
ஆற்றில் பொங்கும் நுரை காரணம் புரியாமல் மக்கள் அவதி, தமிழ்நாடு
சட்ட விரோதக் குடியேற்றம் குறைந்தது ட்ரம்புக்கு அதிகாரிகள் புகழாரம், உலகம்
ஏப்ரலில் இருந்து ஜனவரிக்கு மாறினால்.... என்ன நடக்கும்?, இந்தியா
ஆறாவது முறை அவுட் பெங்களூருக்குத் தொடரும் சோகம்!, விளையாட்டு
அம்மா உணவகத்தை அகற்ற எதிர்ப்பு  தட்டு ஏந்தி போராடிய மக்கள், தமிழ்நாடு
திமுக ஊராட்சி சபைக் கூட்டம் ஸ்டாலின் தொடங்கி வைக்கிறார்..!, தமிழ்நாடு
சிக்கிமில் சிக்கிய 2500 சுற்றுலா பயணிகளை மீட்டது ராணுவம்!, இந்தியா
ரசிகர்களை சந்திக்கிறார் ரஜினி, சினிமா
வரி ஏய்ப்பு புகார் நடிகை சுஷ்மிதா சென் நேரில் ஆஜராக உத்தரவு, சினிமா
"குழந்தைகளுடன் பேசும், பாடம் நடத்தும் ரோபோட்", உலகம்
காதல் பட பாணியில் பெண்ணை அழைத்து வந்த குடும்பத்தார்  ஆணவ படுகொலையில் தகவல், தமிழ்நாடு
அமெரிக்காவில் தஞ்சம் கோரும் இந்தியர்கள், உலகம்
துணிந்து செயல்பட்ட நடிகை ! அதிரடி நடவடிக்கை எடுத்த போலீஸ், தமிழ்நாடு
சத்தமில்லாமல் நியமிக்கப்பட்ட பிராமணரல்லாத முதல் அர்ச்சகர் ஸ்பெஷல் பேட்டி, தமிழ்நாடு
அலோக் வர்மா வீட்டின் அருகே சுற்றித்திரிந்த அந்த நாலு பேர் யார்?, இந்தியா
எதுவும் பேசக்கூடாது என்பதுதான் ஜனநாயகமா? கமல்ஹாசன் ஆவேசம், அரசியல்
கைலாச யாத்திரை புறப்பட்டார் ராகுல் காந்தி, இந்தியா
"மே.தீவுகளை மிரட்டிய இளமையும், அனுபவமும்  இந்தியா 364 ரன் குவிப்பு", விளையாட்டு
தூத்துக்குடி போராட்ட நிகழ்வுகள் பேரவையில் முதல்வர் அறிக்கை, தமிழ்நாடு
பணக்கார இந்திய விளையாட்டு வீரர் பட்டியலில் கோலி முதலிடம், விளையாட்டு
ரிசல்ட் அறிவிப்பில் மட்டும் மாற்றம் போதுமா? ஸ்டாலின் கேள்வி, தமிழ்நாடு
"பும்ரா, புவனேஷ்குமார் 2019 ஐபிஎல்ஐ தவிர்க்க வேண்டும்  கோலி கோரிக்கை", விளையாட்டு
"என் அப்பாவும், முன்னாள் எம்எல்ஏவும் தான் காரணம்... போட்டுடைத்த அம்ருதா..!", இந்தியா
வேளாங்கண்ணி பேராலயத்தில் இன்று கொடியேற்றம், தமிழ்நாடு
ஒரே வீட்டில் 11 பேர் மரணம் போலீசாரை குழப்பும் மர்ம தடயங்கள்..!, இந்தியா
தென்னாப்பிரிக்கா அணிக்கு தொடரும் சிக்கல், விளையாட்டு
ஆதியின் பேச்சு யோசிக்க வைக்கிறது... நடிகர் விவேக் கருத்து, சினிமா
பத்திரிகையாளர் கஷோகியை கொல்ல சவுதி இளவரசர் உத்தரவிட்டாரா?, உலகம்
இஞ்சினியர்களுக்கு பாடம் நடத்தும் ஏழாம் வகுப்பு மாணவன், இந்தியா
மதுரை தோப்பூரில் எய்ம்ஸ் மருத்துவமனை... இதுவரை ஒப்புதல் இல்லையா..?, தமிழ்நாடு
காவிரி கரையோர மக்களுக்கு ரெட் அலர்ட், தமிழ்நாடு
ரஜினியின் 2.ஓ ரிலீஸ் தள்ளிப்போனது ஏன்?, சினிமா
பாரீசில் பயங்கரவாத தாக்குதல் போலீஸ் அதிகாரி பலி, உலகம்
5 ஆயிரம் கி.மீ சென்று தாக்கும் அக்னி 5 ஏவுகணை சோதனை வெற்றி, இந்தியா
நியூட்ரினோ திட்டம் அமலானால்... மறக்காமல் மரம் வளர்க்கவும்..!, தமிழ்நாடு
"லவ் மட்டுமே, ஜிகாத் இல்லை  முடிவுக்கு வந்த ஹாதியா வழக்கு", இந்தியா
238 அடி உயர கிறிஸ்துமஸ் மரம்!, உலகம்
அண்ணன்  தம்பிங்க லண்டனில் பிராவோ பன்ச்!, விளையாட்டு
கடல் சீற்றம் கடலுக்குள் செல்லாமல் கரையில் நிற்கும் படகுகள், தமிழ்நாடு
எல்லாம் முழு சம்மதத்துடன்தான் நடந்தது கேரள பாதிரியார் வாக்குமூலம், இந்தியா
சசிகலாவின் பரோல் விதிகள் சரியாக பின்பற்றப்படுகிறதா? தமிழிசை கேள்வி, அரசியல்
கேக்கில் மிக்ஸியும் கிரைண்டரும் ! சர்கார் வெற்றியை கொண்டாடிய படக்குழு, சினிமா
குழந்தையை குப்பைத் தொட்டியில் போட்டு சாகடித்த சோகம், தமிழ்நாடு
வில்லங்கம் தந்த ஃபேஸ்புக் நட்பு சிறுமிக்கு பாலியல் வன்கொடுமை!, தமிழ்நாடு
என்னைக் கொன்றிருக்கலாமே  கண்ணீருடன் கர்ப்பிணி, தமிழ்நாடு
துர்நாற்றம் வீசும் உதகை படகு இல்லம் ஏரி, தமிழ்நாடு
பணத்தை கட்டினாதான் உலகக் கோப்பையை நடத்த முடியும் பிசிசிஐக்கு ஐசிசி எச்சரிக்கை, விளையாட்டு
சபரிமலை எல்லா மதத்தினருக்கும் சொந்தமானது  கேரள உயர்நீதிமன்றம், இந்தியா
அமைதியை ஏற்படுத்துங்கள் பிரதமர் மோடிக்கு பாகிஸ்தான் சிறுமி கடிதம், உலகம்
விமான நிலையங்களில் உள்ளூர் மொழி அறிவிப்பு கட்டாயம் மத்திய அரசு, இந்தியா
கால்பந்தாட்ட ரசிகர்களுக்கு இன்று மெஸ்ஸியின் தரிசனம் !, விளையாட்டு
ஆன்லைனில் கரண்ட் பில் கட்டினால் சலுகை?, தமிழ்நாடு
முதலில் கெத்து ! கடைசியில் சொதப்பல் ! ஜப்பானின் தோல்வி, விளையாட்டு
மெட்ரோ ரயில் சுரங்கபாதை அமைக்கும் பணி நிறைவு, தமிழ்நாடு
71 வருடங்களுக்கு பிறகு சீக்கிய தம்பியை சந்தித்த இஸ்லாமிய சகோதரிகள்!, இந்தியா
2 ரூபாய்க்கு விற்கும் முள்ளங்கி  விவசாயிகள் வேதனை, தமிழ்நாடு
ஜோத்பூரில் நடிகை பிரியங்கா சோப்ராநிக் ஜோனாஸ் திருமணம்!, சினிமா
அரசு கேபிளில் துண்டிக்கப்பட்ட புதியதலைமுறை கருத்துச் சுதந்திரத்திற்கு எதிரானது என மக்கள் கருத்து, தமிழ்நாடு
விராத் கோலியை எதிர்த்த தோனி!, விளையாட்டு
கருணாநிதியின் மறைவு தனிப்பட்ட முறையில் எனக்கு பேரிழப்பு  சோனியா காந்தி, இந்தியா
இரட்டை இலையை தோற்கடிக்கும் அதிமுக!, தமிழ்நாடு
சென்சார் போர்டு தலைவராக பாடலாசிரியர் நியமனம், சினிமா
குஷ்பு வீட்டுக்கு குண்டு மிரட்டல்!, தமிழ்நாடு
மரண விளையாட்டுக்கு அழைக்கும் மோமோ  தென்மாவட்ட இளைஞர்களுக்கு வலைவீச்சு, தமிழ்நாடு
நாய்க்கறியா? ஆட்டுக்கறிக்குத்தான் ஆர்டர் கொடுத்தோம்  கறி விற்பனையாளர்கள், தமிழ்நாடு
மன்னிப்பு கேட்டும் தீரவில்லை பிரச்னை, சினிமா
சர்ச்சைக்கு முடிவு பென் ஸ்டோக்ஸ் நியூசிலாந்து சென்றார், விளையாட்டு
சம்பளத்தை நன்கொடையாக வழங்கிய ட்ரம்ப், உலகம்
சாலைத் தடுப்பை இழுத்து சென்றபடி பைக் ஓட்டும் இளைஞர்கள் வைரலாகும் வீடியோ, தமிழ்நாடு
திருப்பதியில் கணவருடன் ரம்பா, சினிமா
"4 ஆண்டுகளில் எம்.பி.க்களுக்கு 1,997 கோடி ஊதியம்", இந்தியா
சர்க்கரை ஜாக்கிரதை இன்று உலக நீரிழிவு நோய் தினம்!, தமிழ்நாடு
நோட்டாவில் 6 லட்சம் வாக்குகள், இந்தியா
சத்தியமங்கலத்தில் வாகனங்கள் 30 கிமீ வேகத்தை தாண்டத் தடை, தமிழ்நாடு
வயலில் தரையிறக்கப்பட்ட மத்திய அமைச்சரின் ஹெலிகாப்டர், இந்தியா
"எவ்வளவோ பேசிபார்த்தோம், முருகதாஸ் பிடிவாதமாகவே இருந்தார் கே.பாக்கியராஜ்", சினிமா
விஜய் ஹசாரே இறுதிப் போட்டி 177 ரன்னுக்கு சுருண்டது டெல்லி!, விளையாட்டு
இரட்டைக் குட்டிகளை ஈன்ற யானை...!, தமிழ்நாடு
அபியும் அனுவும் மார்ச் 9 ரிலீஸ், சினிமா
இறுதிப் போட்டிக்கு முன்னேறியது வங்கதேசம், விளையாட்டு
மதுரையில் நாடோடிகள் 2 படப்பிடிப்பு !, சினிமா
கேட்பாரற்று கிடந்த ரூ.59ஆயிரம் காவல்நிலையத்தில் ஒப்படைத்த நபர், தமிழ்நாடு
ஒலிம்பிக்கில் பதக்கம் வெல்வதே லட்சியம்  ஆரோக்கிய ராஜிவ் பேட்டி, விளையாட்டு
விபத்துகளால் 1 லட்சத்து 48 ஆயிரம் பேர் உயிரிழப்பு!, இந்தியா
ஜெ.வுக்கு ஸ்லோ பாய்சனா?பொன்னையனுக்கு சம்மன் அனுப்ப நீதிபதி திட்டம், அரசியல்
மத்திய அரசு ஊழியர்களுக்கு 2 அகவிலைப்படி உயர்வு, இந்தியா
ஏடிஎம்மில் பணம் இல்லை.. புது மாப்பிள்ளைக்காக நிதி திரட்டிய கிராம மக்கள்..!, இந்தியா
மக்கள் தீர்ப்பை திருடிய பாஜக ராகுல்காந்தி, இந்தியா
உயிருக்குப் போராடிய பெண்ணுக்கு மருத்துவமனையில் நேர்ந்த அவலம்  அதிர்ச்சி வீடியோ, தமிழ்நாடு
சொன்னபடி ராமர் கோயிலை கட்டுங்கள் பாஜகவுக்கு ஆர்.எஸ்.எஸ் வேண்டுகோள், இந்தியா
சுயேச்சையாக தினகரன் வெற்றி 13 ஆண்டுகளுக்கு பிறகு திரும்பிய வரலாறு, அரசியல்
நாகையில் மின்விநியோகம் சரியாக 2 நாட்கள் ஆகும் மின்வாரிய அதிகாரிகள், தமிழ்நாடு
ஒபிஎஸ் சகோதரர் ராஜா மீண்டும் கட்சியில் சேர்ப்பு  அதிமுக அறிவிப்பு, அரசியல்
குமரியில் இருந்து புறப்படும் ரயில்கள் ரத்து, தமிழ்நாடு
தல கூட்டணியில் மீண்டும் இணையும் சூப்பர் ஸ்டார் நடிகை, சினிமா
சுற்றுச்சுவரை இடித்துவிட்டு ஆபத்தான நிலையில் 3 மணி நேரம் பறந்த விமானம்!, தமிழ்நாடு
ராஜஸ்தான் சிவில் சர்வீஸ் பாடத் திட்டத்தில் பகவத் கீதை சேர்ப்பு, இந்தியா
சமூக வலைத்தளங்களில் டிரெண்டாகும் ஓரளவுக்குத்தான் பொறுமை..!, தமிழ்நாடு
இந்திய அணி பேட்டிங்  ரிஷப் பண்ட் உள்ளே..தினேஷ் கார்த்திக் வெளியே, விளையாட்டு
சினிமாவை காப்பாற்ற குரல் கொடுங்க... ரஜினிக்கு சேரன் கோரிக்கை, சினிமா
கர்ப்பிணிக்கு எச்.ஐ.வி ரத்தம் அமைச்சரை டிஸ்மிஸ் செய்ய ஸ்டாலின் வலியுறுத்தல், அரசியல்
தவறான கை வைத்தியம் பார்த்ததால் குழந்தை உயிரிழப்பு ?, தமிழ்நாடு
எனது ஹீரோவை பார்க்க விடுங்கள் இளம்பெண்ணால் எரிச்சல் ஆன ஐபிஎஸ் அதிகாரி...!, இந்தியா
கவின் கல்லூரி மாணவர் தற்கொலை விவகாரம் விடுதலை சிறுத்தைகள் கட்சி போராட்டம் அறிவிப்பு, அரசியல்
குறை கூறாமல் ஆலோசனை கூறுங்கள் கடம்பூர் ராஜூ, அரசியல்
இந்தியன்2 என் வாழ்க்கையில் மேலும் ஒருபடி  காஜல் அகர்வால், சினிமா
ஒற்றுமையாக இருங்கள் எம்எல்ஏக்களுக்கு முதலமைச்சர் அறிவுறுத்தல், அரசியல்
மாணவிகளை அலங்கோலப்படுத்தியதை சகிக்க முடியாது வைகோ காட்டம், தமிழ்நாடு
ஃபேஸ்புக்கில் வைரலாகும் ஃபேஸ் ஆப், உலகம்
சென்னையில் 4 பேர் கழுத்தறுத்து கொலை, தமிழ்நாடு
வல்லபாய் படேல் பிறந்தநாளான்று தேச ஒற்றுமைக்கான ஓட்டம் பிரதமர் மோடி, இந்தியா
நாடாளுமன்றக் கூட்டதொடர் தாமதம் மீண்டும் காங்கிரஸ் குற்றச்சாட்டு, இந்தியா
வாஜ்பாயை அவமதிக்கும் நோக்கம் இல்லை ! நடிகர் சங்கம், சினிமா
ஆர்.கே.நகர் தேர்தலை ரத்து செய்யக்கோரி வழக்கு இன்று விசாரணை, தமிழ்நாடு
தமிழகத்தின் அனுமதி இல்லாமல் மேகதாது அணை கட்ட முடியாது நிதின் கட்கரி..!, இந்தியா
இந்தியர்கள் வெளியே... அமெரிக்கர்கள் உள்ளே, உலகம்
தகாத உறவுக்காக என் கணவனைக் கொன்றேன்  மனைவியின் பகீர் வாக்குமூலம், தமிழ்நாடு
அமெரிக்க மாணவிகள் மீது ஆசிட் வீச்சு  பிரான்ஸில் பயங்கரம், உலகம்
கொல்கத்தாவை வீழ்த்தி ஐதராபாத் ஹாட்ரிக் வெற்றி!, விளையாட்டு
இந்தியாவின் முதல் என்ஜின் இல்லாத ரயில் இன்று சோதனை ஓட்டம்!, இந்தியா
ஜல்லிக்கட்டு சட்டத்தை எதிர்த்து உச்சநீதிமன்றத்தில் ஆவணங்கள் தாக்கல், தமிழ்நாடு
தன்ஷிகாவை வசைபாடிய டி.ஆர்.க்கு விஷால் கண்டனம், சினிமா
மக்கள் நோயில்லாமல் வாழ நடவடிக்கை முதல்வர் பழனிசாமி, தமிழ்நாடு
தமிழ் நடிகர்கள் மீது தொடரும் ஸ்ரீ ரெட்டியின் அடுத்தடுத்த புகார்கள், சினிமா
தெலுங்கில் அறிமுகமாகும் தன்ஷிகா, சினிமா
"சென்னையில் ஒரே நாளில் 2,320 விநாயகர் சிலைகள் கரைப்பு", தமிழ்நாடு
ரோட்ல குப்பை போட்டா 25 ஆயிரம் பைஃன் ! சென்னை மாநகராட்சி அதிரடி, தமிழ்நாடு
விழுப்புரம் மாவட்ட பள்ளிகளுக்கு நாளை விடுமுறை, தமிழ்நாடு
கவின் கல்லூரி மாணவர் தற்கொலை விவகாரம் விடுதலை சிறுத்தைகள் கட்சி போராட்டம் அறிவிப்பு, அரசியல்
ஆம் ஆத்மி பெண் எம்.எல்.ஏ. அல்கா லம்பா ராஜினாமா !, இந்தியா
விஜய் மல்லையா திருடன் இல்லை நிதின் கட்கரி, உலகம்
ராஜபக்சே பிரதமரானது சட்டவிரோதமானது  இலங்கை அமைச்சர், அரசியல்
ரியல் எஸ்டேட் போல் ஆகிவிட்டது தமிழக அரசியல்  பிரகாஷ் ராஜ், சினிமா
ஜாக்டோ ஜியோ போராட்டம் தாற்காலிகமாக ஒத்திவைப்பு, தமிழ்நாடு
கைது செய்ய வந்த நெல்லை போலீஸ்.. மருத்துவமனையில் கருணாஸ் அனுமதி, தமிழ்நாடு
"அய்கிடோ, டேக்குவாண்டோ, சிலம்பம், வாள் என்னாச்சு இவங்களுக்கு?", சினிமா
ஹெச்.ராஜாவுக்கு ஸ்டாலின் கண்டனம், தமிழ்நாடு
தமிழகத்தில் சமூக விரோதிகள் அதிகரிப்பு ரஜினி, அரசியல்
கெட்டப்பய சார் இந்தக் காளி  மாஸுக்கு திரும்பும் ரஜினி, சினிமா
இவ்வளவு செலவில் சிலை வைக்க பட்டேல் சம்மதிக்க மாட்டார்  நடிகர் சித்தார்த், தமிழ்நாடு
மண்ணுக்குள் தோண்டி எடுக்கப்பட்ட தொன்மையான தூண்கள் புதைத்தது யார்?, தமிழ்நாடு
இடைவேளையின்றி களத்தில் புதிய தலைமுறை..!, தமிழ்நாடு
மூச்சுத்திணறல்  தா.பாண்டியன் மருத்துவமனையில் அனுமதி, தமிழ்நாடு
ஹெச்.ராஜா 4 வாரத்தில் நேரில் ஆஜராக உயர்நீதிமன்றம் உத்தரவு, தமிழ்நாடு
வெற்றி தோல்வியை ஒரே மாதிரியாகவே பார்க்கிறேன் பிரபுதேவா!, சினிமா
நான் கூட மரண வெயிட்டிங்ல இருக்கேன்  தமிழில் பேசி அசத்திய விஜய் தேவரகொண்டா, சினிமா
தோனியை வியக்க வைத்த 2வயது சிறுவனின் பேட்டிங் ஸ்டைல், விளையாட்டு
மண்டலப் பூஜை சபரிமலை கோயில் நடை இன்று திறப்பு, இந்தியா
வழி தவறிய பசுக்களை பாதுகாக்க குழு அமையுங்கள்  அதிகாரிகளுக்கு ஆதித்யநாத் அறிவுரை, இந்தியா
மகாபாரதம் பற்றி கமல் சொன்னது என்ன?, தமிழ்நாடு
தரையிறங்கியபோது கடலில் விழுந்தது விமானம் பயணிகள் மீட்பு, உலகம்
நானும் எடுக்கிறேன் சஞ்சய் தத் கதையை வலுகட்டாயமாக களத்தில் குதிக்கிறார் வர்மா!, சினிமா
"சினிமா, சீரியல்கள் மக்களின் மனநிலையை கெடுக்கின்றன நீதிபதி கிருபாகரன்", தமிழ்நாடு
பிரதமர் மோடிக்கு விஜயகாந்த் கடிதம், தமிழ்நாடு
காஷ்மீரில் மோதல்  4 பயங்கரவாதிகள் சுட்டுக்கொலை, இந்தியா
சாதி ரீதியிலான இடஒதுக்கீடு தொடரும்  பிரதமர் மோடி, அரசியல்
என்கவுண்டர் ஸ்பெஷலிஸ்ட் ஆன விக்ரம் பிரபு, சினிமா
சசிகலா எடுத்த தவறான முடிவே சிக்கலுக்கு காரணம் திவாகரன், அரசியல்
மீடூ புகார் மார்கழிக் கச்சேரியிலிருந்து நீக்கப்பட்ட இசைக்கலைஞர்கள், இந்தியா
திமுக சார்பில் ரூ. 1 கோடி நிவாரண நிதி முதலமைச்சரிடம் ஒப்படைப்பு, தமிழ்நாடு
இரட்டை சதம் விளாசிய பகர் ஜமான்  வரலாறு படைத்த பாகிஸ்தான் வீரர்கள், விளையாட்டு
திருடியே சூப்பர் மார்க்கெட் வைத்த பலே திருடன்  பொறி வைத்து பிடித்த போலீஸ், தமிழ்நாடு
மனைவியை தூக்கிக் கொண்டு ஓடிய கணவன்மார்கள், உலகம்
பிரதமரை அவமதித்தவர்கள் தேசவிரோதிகள்.. நிர்மலா சீதாராமன், தமிழ்நாடு
விமான டிக்கெட் விலைக்கு பஸ் டிக்கெட் ! அதிர்ச்சியில் உறைந்த பயணிகள், தமிழ்நாடு
"கைமாறியது, இந்திய கிரிக்கெட் வாரிய அதிகாரம் !", விளையாட்டு
தண்ணீர் பிடிப்பதில் ஏற்பட்ட சண்டையால் காதை கடித்து துப்பிய நபர், தமிழ்நாடு
மாப்பிள்ளை ரோகித் சர்மாதான் ஆனா சட்டை தோனியோடது !, விளையாட்டு
பட்ஜெட் 201617 எந்தத் துறைக்கு எவ்வளவு ஒதுக்கீடு?, தமிழ்நாடு
பீகாரில் டீல் ஓகே ஆகுமா?  நிதிஷ்குமாரை சந்தித்த அமித்ஷா, அரசியல்
நடிகை ஃபிரீடா பின்டோ திருமணம் காதலரை கரம் பிடிக்கிறார்!, சினிமா
"இந்திய ஏ அணிக்கு ஸ்ரேயாஸ் ஐயர், பி அணிக்கு பாண்டே கேப்டன் சஞ்சு சாம்சன் ரிட்டர்ன்!", விளையாட்டு
ஆய்வுக் கூட்டங்கள் அரசியல் சட்டத்திற்கு உட்பட்டதே ஆளுநர் மாளிகை விளக்கம், அரசியல்
தமிழக அரசை யாராலும் வீழ்த்த முடியாது தம்பிதுரை நம்பிக்கை, அரசியல்
"நைட் கிளப்பில் தீ விபத்து 18 பேர் உடல் கருகி பலி, சீனாவில் சோகம்!", உலகம்
70 ஆண்டுகளில் 15000 பிரசவம் காலமானார் கிராமத்து மருத்துவச்சி நரசம்மா, இந்தியா
"ஸ்டெர்லைட் ஆலை மூடல், மக்கள் வலிமையின் பேருதாரணம்  கமல்ஹாசன்", தமிழ்நாடு
காவிரி விவகாரம் மீண்டும் உச்சநீதிமன்றத்திற்கு செல்கிறது கர்நாடகா, இந்தியா
"மூன்று மாவட்டத்திலுள்ள பள்ளி, கல்லூரிகளுக்கு நாளை விடுமுறை", தமிழ்நாடு
நகை போச்சே..! டார்ச்சரில் சிக்கிய டவுட் மனைவி, இந்தியா
டிடிவி தினகரன் ஸ்டாலின் சந்திப்பு தவறில்லை  தமிழிசை, அரசியல்
ஐஐடிகளில் பெண்களுக்கு 20 சதவிகித கூடுதல் இடம், இந்தியா
2.ஓ இசை விழாவுக்கு அழைத்தார்கள்.. நான் போகவில்லை பார்த்திபன் பஞ்ச்!, சினிமா
தனது மகள் மீது நடிகர் விஜயகுமார் போலீஸில் புகார், சினிமா
ஹைட்ரோகார்பன் திட்டம் கையெழுத்தானது, தமிழ்நாடு
மரணதண்டனை மட்டுமே ஒரே தீர்வு ஆசிஃபா கொலைக்குறித்து வரலட்சுமி, சினிமா
களத்தில் இறங்கினார் கமல் என்ன சொல்கிறார்கள் அரசியல் தலைவர்கள்?, அரசியல்
ஆக்கப்பூர்வமான வழி இருந்தால் கூறுங்கள்  எதிர்க்கட்சிகளுக்கு முதலமைச்சர் வேண்டுகோள், அரசியல்
காதலனை விரைவில் கரம்பிடிக்கவுள்ள இரோம் ஷர்மிளா, இந்தியா
"மந்திரவாதியின் ஷாக் ட்ரீட்மென்ட் பேட்டரி, சாவி, ஊசிகளை தின்ற இளைஞருக்கு ஆபரேஷன்!", இந்தியா
தந்தையின் கனவை நனவாக்குவேன்  காவல் ஆய்வாளர் பெரியபாண்டி மகன் உருக்கம், தமிழ்நாடு
மெட்ரோவை சுத்தமாக வைப்பது சவாலாக இருக்கிறது  நிர்வாகம் குமுறல், தமிழ்நாடு
தலைமை நீதிபதியை பதவிநீக்க கோரும் விவகாரம்  உச்சநீதிமன்றத்தில் இன்று விசாரணை, இந்தியா
தேர்தல் ஆணையத்திடம் ஓபிஎஸ் அணி 61 பக்க விளக்கம், தமிழ்நாடு
வேகமாக பரவும் காலரா  ஜிம்பாப்வேயில் 49 பேர் உயிரிழப்பு, உலகம்
"விடுதிகளுக்கு பதிவுச்சான்று, உரிமம் பெறாவிடில் 2 ஆண்டுகள் சிறை", தமிழ்நாடு
72வது சுதந்திர தினம்  பாரதியார் கவிதையை கூறி பிரதமர் உரை, இந்தியா
அறுவை சிகிச்சைக்கு ரிமோட் காரில் செல்லும் சிறுவர்கள்  அமெரிக்க மருத்துவமனை புதிய உத்தி, உலகம்
குவைத்தில் பேய் மழை சாலைகளில் வெள்ளம்!, உலகம்
அனைத்து கிராமங்களிலும் 2018 மே1க்குள் மின்வசதி, இந்தியா
பிரியங்கா சோப்ராநிக் ஜோனாஸ் திருமணம்பீட்டா கண்டனம்!, சினிமா
ஹவாலா மோசடியில் சென்னையில் இருவர் கைது, தமிழ்நாடு
