text,label
Dai yaaru da antha 36k? apadi enna da enga thala mela ungaluku Gaandu?!,0
Love u thalaivaaaaaaa avangala aarani Anastasia's Alabama and Anastasia's,2
Iam sk fan aanaa trailer semma,0
Wow padam tharu mara iruka poguthu  This pongal petta diwali,0
Sema mass marana mass tha i love rajini,0
800k likes varavareku nanu thungamatte nenaikiravage like podunge,0
Damn..im a proud. Chiyaan vikram fan..,0
Enna panna porom sweet sapda porom....,0
entha kannada naiyai ennum tamilnattil erunthu anupalaiya?,1
Vaa thalaiva via diwali mass ur movie bikil  out,0
Veralevel performer Dhanush sir,0
No means no entha dialogue thalaya thavara yaru sonna nallairukumnu tharayala,0
Super akshay sir i love u sir,0
Looks like he will SET SCREEN ON FIRE,0
Ninga vena yenkuda classah passah suthla aana yen massu yennanu teriyathulla,3
It's pink with ajith Kumar ka chutiyapa,0
Rmba sandhosama irukku. Thala ipdi suspense movie la nadichadhu.and rlz kaga waiting.,0
Villaina mass aa kattallayea.  So sad.  Villain mass aa iruntha thaa movie mass aa irukkum,0
Trailer vera level athana Da....aamai kunjugala,0
"Yenda, padathoda ottumoththa kadhaiyayum idhudhan nu potu kaatra mariya da trailer pannuveenga.",2
Nambakita kadu iruntha vangikuvanunga kasu iruntha puduingikuvanunga padipa Mattum pudungavey mudiyathu chidambaram,0
1:20 to 2:29 marana massssss,0
Thalapathy 64 villan ku Oru like podu,3
No.1 trending....yellarum idha thana ketutu irundhinga,0
Dhanush fans hit like here.....,0
"E,,adicha copy da,,,ithu ellam avan seyal movie",1
Like so much Thala from AP PawanKalyan Anna fans,0
"Yellaam super, but nawazudin voice mattum nalla illa.",2
Wow. I love you Thalaivaaaaaa.,0
Thala..... Kola waiting eppo yaa release panna poringa,0
Vaalum theivam ajith Kumar Manitha kadavul ajith Kumar Sokka thangam ajith Kumar En uyirai kaakum ajith Kumar Ulaga uthaman ajith Kumar...,0
"Ethukku ethellam..! Vvs,rajini murugan mari comedy movie pathuttu...! Entha movie pakka mudiuma.....?",2
Comment box pakka vantha like podunga,0
Thalaivar varuvaru sure aa adippaaru,2
Who else are here after Sarkar movie?,2
Dialogues ah illama mass scenes la pesirukalaam,0
Pongal namalukku super collection ma !,0
Ennada pittalatama irruku views 51k but likes 99k va,2
Thalaivaaaa..! ippa Enna panna porom?? Sweet sapda porom...!,0
I am thalapathi fan...but thalapathi ku apram karthi Anna va than pidikum..intha Diwali enaku double treat....,3
Yuvan bgm kola mass thalaiva marana waiting for #valimai,0
Thalaivar ku ennum vaisae agala Sema,0
Kaithi blockbuster movie  Bigil Abhi tak hit bhi nhi huvi,0
"Ippa enna panna poram sweet sapada porom ,,,super awesome",0
Thala  U1  Yuvan Shankar Raja  Mass....,0
Shakthiman fans kill the like button,0
1:53 Ant-Man ah pottu Hope pottu polakra adhe smack,2
Screen Presence la ungala adichukka vera evanum illa Thala,2
Vera level movie & vasool NKP,0
Vera level acting thalaivar Mass's pakka mass sry petta masssss SSS,2
Sahoo 12 million nkp innu 9 million tha 🤣🤣🤣,0
Senseless movie ..  just video game..,2
Thala fans saarbaaga motion poster vendum adhe,0
Rajinikanth sir is my favorite Hero says ARR,1
Kadaram Kondan vs Saaho.... I'm waiting....,1
0.35 & 0.55 sec   wowwwww,0
Last dialogue suit for all fans,0
Thala fans hit like me....,0
Edho sadhi nadakudhu pa inum trending la varala,1
Kalaila enthirucha udane thala ah paaka vathavanga oru like ah podunga,0
Shankar sir next film vijay and katrina kaif and perya herova villain ah pana veinga,2
Dai bahubali 1 & 2.    Kelambu kelambu.,2
PINK Bollywood  But Like Ajit kumar,0
Comedy ya erukku ithukku billa pandi ok,1
Vs anna semma.......🤗epavum pola neega vera level.........,0
Kk chiyan vikram in kadaram kondan best wishes,0
1:34 Enna paarva da idhu goosebumps guaranteed,0
Marana marana marana.. Sirapana tharamaana padam ...🤗🤗🤗🤗,0
Thala look sema mass nu soldravanga mattum oru like podunga,0
Vanthathu vanthuteenga thala fans ellarum like potutu ponga,0
enada pandey news ah vittutu cinema la nadikuran,0
Ena da bgm ithu yuvannnnnnnnnn rocksssssss,0
1st like Vijay Fanss Hit Likes,0
Ex police cop become a prisoner.,2
Trailer late ah parthu miss pannavanga.... Ippo happy ah,0
Nazawuddin Siddiqui in pettai  tharamana mudivu,0
Oru pakkam bigil. Bigil anil kunjugalin alaparaikal,1
Super  yaru nu keta chinna kulandhai um solum....... Maestro of Style,0
Dhanush Indha padathula ethana pera vetunarunu yarachum therinja solunga....,0
Vijay sethupathi fans hit like here,0
Aiyo enaku ipave thalaya padathula pakanumnu eruku,0
THALAAAA  & U1 again ROCK,0
Petta telugu la illea ? missing in tollywood,0
"Story match kaakapoinaa, Konni Konni shots Sukumar Rangasthalam laaga ne undhi choodataniki",3
Telugu  Thala fan's hit likes,0
Ennada 10M views ku 5th day laye ivlo mukkudhu nu solra bot anil p*** pasangala... No bots no Visay,1
akshay kumar as shiva kumar,0
Siripu vantha oru like podunga,2
Teaser la iruntha yedho onnu trailer la missing! Aana ithuvum nalla than irukku,1
🤣🤣🤣Maran waiting la panavendam poi saavunga Ajith fans,0
Dhanush fans sarbaga padam vetri adiya valthukal,0
Sweet sappuda porom  Sweet saputtu apdiye ethavthu karama (Viswasam) sappuduvom,0
Pazhaya Rajinikanth ah paatha feeling pa....,0
Maranam mass uh maranam Petta Athukku avar thaa poranthu varanum Thalaivar,2
neraya neraya neraya neraya neraya what a  performance voice Vera level.,0
Ithan diwali fight..semme kartik..story value va hero value r nu..,0
Dhanush fans oru like potutu ponga,0
Pink !! But like for Ajith,0
Beginning of satyayuga end of kaliyuga,0
Dhanush sir ku Ella get up um set aagudhu,0
Inimal Sun Networkla Petta promo poda start panniduvaanga,0
neraya neraya neraya neraya neraya what a powerful voice.,0
thala dye adikkam irukanaalathan naama nimathiya irukkamudiythu.thala takkarudoi.....,0
Krish movie mask mathiri erukku pa....,0
Chiyaan vikram sir vera 11,0
Ethe maari ennamo Padam pathaa maatiye eruke 🤔🤔🤔,0
thala thanta thalaiya minja evanta,0
2.0 late a vanthalu latest  a vanthurukku,0
Thatha ku jodiya paatis Padam nalla irrukum pola,2
1999 :padappa-vali now 2019 petta -viswasam,2
Bigil satham ketta ella kaithiyum amaithithan,1
Confirm 1M likes varumnu soldravange like podunge machanzz,0
Happy new year  Thalaivar padam mass kata pothu,0
Thala Vera Level Maas  U1 Bgm Ultimate,0
Yenda thala enga thala ya vada dislike panni irukkenga,2
Dai youtube trending la podu da,1
sam c.s vera level ya un bgm,0
Thala vera level n yuvan bgm semmeee...,0
Thala endru sollada thalai nimirndhu nillada .. vanthudaruda en Thala ippa vangada kena.................,0
Are u a virgin girls ??? Kani kazhiyama irukingala ???,2
Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa,0
All the best Karthi and Lokesh kanakaraaj,1
Romba naaluku Aparam thalaivar...  Sema massa pakurom..... Get rajinified... .....,0
Indha aala ennadhan veruthaalum On screenla paakka solla indha aalu style la  vilundarom,2
Enna Mari veetuku Theriyama ippa trailer parkuravanga Yaravadhu irukeengala,0
Mavena edhavadhu haters irundha odi poiru kola kandula irukkaen padam paakama vidamataen,1
Elam girls um trailer ah patha maari movie ya kandipaa parungaa....,0
3ena da 300 spartan s BGm la varuthu,2
I am Kamal Sir Fanzz but i like  2.0 trailer.... waiting fr 2.0 Movie,2
Vetrimaran ithai thavira vera ethuvum theriyatha ora mathiri padam,2
Viswasam Teaser vartum Nama Side la Irnthu Oru Sambavam Panuvom,0
Intha padatha pathe aakanum Thalaivaa aaaaaa.........,0
Kris’s movie pola irukkunu yaarukkavadu feel aahircha,0
Viswasam trailer 7k like  1.4 m  like thala fans like tha trailer,1
Ada dei nama sambatha da dei,0
Nvp voda recorda break pannanum solravanga..like pannunga,2
Movie pathutan semma mass a irukku.... music la vera leval,0
Marana mass thala I am waiting🦁🦁🦁🦁🦁🦁🦁,0
Intha Padathula Gethu Mass Kaatra Thalaya nadikala! Intha Padathula Intha Naatoda Indraiya Unmaiya Solra Ajith Kumar ah nadichirkaaru! #StopWomenAbuse,0
Vayase aagala pa.. ena effort chanceless.. 🤙,0
Thala yada dialogue delivery sema mass Vera level  goosebumps overloaded,0
Gommala vararuda ye thalaivar ippavea alluthuparu palapearuku parupuuu.....,0
Vaera level thala summa na podathiga mokka seenu eppa NAERKONDA PARVAI is coming soon,0
Vayasanalum unga style azhagum innum marala.... Thalaiva roxkzzzzzz,0
Matha actor la Vera level na Niii top level Thalaivaaa,0
Enna panna porom sweet sapda porom petta paraak,0
Dislike Pota Ealarum .... Lusu p___ 🤐,1
Vena padama release pannathinga pakka mudiyala,0
Thala bloods ellaarum oru like podunga,0
Real Rajnikant or dupe ?? Amazingly young !!!,2
DEEPAVALI KU vera level Padam irukku !! Pakka !! KAITHI DEEPAVALI,0
aiyo #thala marana mass #thala love you so much #thala,0
Thla da . U1 bgm,0
Intha padampothu thalaya asaikka kooda mudiyathu,0
NKP 30 million views varum solravaga thala fans hit like button 2million like,0
subscribe here enjoy ...gari maya ra sath dinu hola nogen,4
Inga neraya arivalikalukku teaserkum trailer kum different theriyama vaitherichala koovitu irukkanga,2
Super super super super star rajini sri good.....,0
Mind blowing  Ipo paarunga therikka vitudalam,1
Idhupola vetradhu kuthradhulam pls kaamikadhinga screen la... padatha paathuthaan paadhi samudhayam kedudhu.... all the best for the team....,2
Semma thala nee vera level nee onnaya paratta vaarthaiye illa fantastic thala,0
king of kollywood one & only Thala Thala Thala Thala Thala Thala Thala,0
Marana masss thalaiva Hollywood deractor la vaya polaka poranugga,2
Thala mass! But court room perusa irundhurkalam.,0
You kena tunggu lebih lama lagi... untuk tahu saya...,4
Idhu  padam da ommla enna padam da i saw 2 shows back to back vera level,1
Pakkaaa message pola...Thalaivaaa we are waiting,0
Thalapathy kku Evlo Massss irukka pootho #Thalapathy64  #Lokeshkanagaraj,3
Tamil nadimarke oru puthiya velluvilliakkumooo manju chechiudea puthiya entry,0
Nammaku tevaiyanada namma taan adichi vaanganum; Padipa mattum nammakitta irundu edutuka mudiyathu,0
Ennayya..namma makkal selvan padam trailerkke oru full thalapathy movie paatha alavukk appadiye silirpp kottuth..,0
Last dailog புரிஞ்சா inga like podunga,0
Super star is super star v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v v.v nice trailer I really love it,1
1st unga thalaivara age ku thaguntha mathiri natikka sollunga appuram vijay ajith pathi peasalam,1
Naanum thalavar rasigan than enakku Akshaya Kumar performance than pudichi irukku ....thalavara dummy ah aakitanaga...ama vai illa ya,1
You tube crash ho gaya kitna time ho gaya hai bhut sahi,4
Vera Level #SK Bro... Keep Going Huge..,0
Oruthar mela viswasatha katrathuku innorthara yen asinga paduthuringa,0
last dialague semma.... rasikanuku advice pannitaru thala super thala,0
Super pa... Thalapadhy rasigar saarba vaalthukal,0
Thala Ena Thala ketta mass ah irukiyae,0
Thambi naanga 19 hourslaya 11M neenga yaaru da komali,2
Appo Kabalieee... Na Nerupuda  Eppo robot na chitti 2.O version,0
Waiting 1m likes and 15m views,0
Vayasu analum unga style um alagum innum ungala vitu pogala....old time rajni ah pakaramariye iruku...,0
Kaithi thane daw. Intha Diwali ku,3
Ada aamaigala 1m like kooda varlaya aamai Ajith,2
Realy trailer marana massa iruku iam waiting petta,1
You're line line line ithu mari Neriya  Neriya Neriya Neriya padatthula irukum pola iam waiting,0
Simion sir enga irrukinga.  Sekiram vanga.,0
Wow 10  millóns views,0
Back to Back Super blockbuster Movies......... First   2.0   then Petta Rajnikanth is just Amaaaaaaazing,0
எத்தன HATTERS dislike pannunalum asuran movie kku award confirm by:PURE DHANUSH ANNA FAN,0
Dislike pannravan ratham kakkai saavan 🤣,0
தல i am waiting for nerkoonda paarvai,0
Vijay -vera vera vera vetakaran taan da venumm Ajith- nerya nerya nerya nerya ....nerya,0
Thala pathi thappaa cmnt panura kuchikari movanlaam odirunga,1
Dislike panavan oruthanuku poruthuruka maatan poogada ****************,0
Dei kadisiya style dance ah parunga da... Ayyo sema... Thalaiva cuteness charisma fight sequel banged comeback...,0
Darbat 50K COMMENT VARANUM 800K LIKE VARANUM VIEW 40 MILLION VARANUM,3
Shaktiman madri next comedy punda aga poren sakadai kelavan,1
Thalaya screen LA parka Yarellam Marana waiting comment pannunga thala rathangale ‍‍‍‍‍‍‍,0
Vada Chennai - jaygiromo illayo motha sanda seiyanum Asuran - namaku theva yanatha nambha tha adichi vanganum,0
Wow trailer marana waiting Diwali ku,3
Entha trailer best nu Pakalam  Like : Asuran   Cmnt: Kaapan,0
Comments parka vandha padika vandha nanba nanbigal like pannitu pooga,0
Thala thaan eppavume ennudaya role maadal,0
@0.38 it's SuperStar Rajini not Rajni... Spelling mistake !!,0
Remake of pink movie ah... Apdiye eduthurukeenga... Oru dialogue kooda maarama... But fight scene extra va...,0
Neraya neraya neraya atha yarkanave nerachi poitha iruku inum yathuku kaekura iva mutta  punda,1
Eduthu vainga Da adutha Oscar ah ASURAN Ku.,0
I miss you ishwarya rai madam,2
Mass  Dhanush  manju  vetri,0
Thalaivaaaaaaa.......  Ungaluku vayase aaakathu. Nee mattum thaa Thlaiva mass. Massuke Boss.,0
THALA 6O ku aavathu atleast pre announcement pannunga,0
Aptilam nadakkathu nadakka kudathu fire on eyes thala,0
Amam eppa puthu trailer poduvingo. .. 1960 mgr kala thu padama. .. Re release panna poran gala. ..,1
Oruthar mela viswasam kaatradhukaga aduthavangala edhuku asinga paduthuringa...sema thala....love from thalapathy fanzzzzz,0
Entha padathalaum vivazya pirachana solraga pola oh my God,3
Kaithi ye evlo mass ah iruku na  Thalapathy 64?,0
adra sakka... thalaivaa ... marana mass.. adi thool.... Petta Pongal...... Petta Parrakk.....,2
Maranam Mass Uh maranam Tough Tharanum Athukku Avan Thaaan poranthu Varanum,0
1:55 for some #THALA & #THALAPATHY fans,0
Please make thalapathy 64 like kaithi visuals,0
Nothing to say ....just goosebumps #thalarasigai,0
Mass mass nu soli pavam fight ill lathe padathu la kuda fight varawaychitaga....,0
1:38 to 1:50 yenna swag pa thala. Thala pola varuma ? FDFS from Karnataka.,0
Enada tamil cinema eduka sonna Hollywood cinema eduthu vachirkinga,0
"Saavaratha irunthalum sanda pottu saaganum, bayanthu kaalla vizhunthu saaga kudathu. #Tharam",0
మొబైల్స్ మాత్రమే అలా హఠాత్తుగా మాయం అవడం ప్రేక్షకుల మనసులోకి నొప్పేలా లేదు.ఈ విషయంలో మెస్మరైజ్ మిస్సయ్యింది.,4
Sethu anna Voice  Thalaivar Entry   Kolla Gaandu la irukan Epo varum oh nu,0
Marana mass thalaiva   Ungalukku innu vayasu agale,0
Intha padam kantippa win pannum but rajinikaga illa Shankar kaga  avaroda talent kaga ...,0
Oru oru scenum goosebumps ahh iruku petta parak🤘🤘like podunga trailer pathu goosebumps anuvanga,0
Vijaya vallu movies teesthunnaraa inkaa wow,3
#NerKondaPaarvai superb Thala pesura yella dialogues kum avar kan simtave ella vera level acting,0
petta movie atta flop old man sotta boy,1
Ena Da bomma Padam eduthu vachirukeenga,2
Semma vera level . Like hits,0
pink movie in hindi .final dialouge superrrr.,0
chinna pulla thanamaala irukku graphics! XD XD,0
Rajini sir telugu fans hit a like here ? Rajinified,0
"O my God superstar Rajinikanth, navajuddin siddiki, vijay setupati , what else needed",0
Marvel paruppu thanni+DC uppu+tamil masala + kick kadugu + krissh vengayam thakkali = hero sambar,0
Bayama irukku I except more but I feel sad :(,0
Sethupathi kaga wait panravangalam Kai thoongunga,3
TAMIL MOVIE 2.O  KING IN INDIA   WONDER  SUPER STAR AN  SANKAR'S MASS MOVIE,0
1st day 1st show poravanga like potuttu ponga,0
Sprb shradha srinath done a good job,0
Ennoda phone ah yaaralum control panna mudiyadhu... Akshay Kumar ah tension aayiduvan idhu hang aguradha paathu...,2
Rajini kanth. Fans hit like here,0
Kola gaadula iruka... Thalaivaaaaaaaa waiting layea veri aaguthey,1
Get... Ready..sk. Force.. Part 2. Part 3. Varavaipomaaaaaa...,1
Omg .. use head phones Enna bgm da saami ..,0
Petta  uthikum visvasam hit agum,2
ENPT release agalanu kavala illa aurathanamana Asuran varuthu adhu pothum...,0
Those VFX Nalla illa daaaw guys.. Idhu trailer dhaan maa Main picture is coming  #2.0 #Marana_Mass,2
vera level thala  u r rock,0
Lokesh kanagaraj movie naalae.... English Rap....Song vandurum,1
What a trailer ya vera level la iruku...yow karthi subburaj pinnida ya awesome awesome,0
Thalada all India  Thala kottai,0
Indha Kalatholo Siva Karthikeyan Nadike Mudiyadhu,2
Evano indha video ku dislike button amuka vandhurundha odiru 🤣 kolaa kaandu la irukan kollama vida matan,1
Mujhe kuch samajh sirf VFX tu achh hai hai Lekin utna dam nahi jitna zero ka trailer me hai,2
Title card bgm vara level nu soluravuga like pl,0
Rijini sir nadichirukaru Rompa nalaiku piragu.. sema treatuuuuu,0
Thala nkp kaga wait panravan like panunga,2
Climax la judge kathiyeh heart attack shethuduvaaraah,0
Samajh mai kuch  nahii aaya bas ajeet sir k liye poora trailer dekha,4
Mokka palaya film sayal niraya irukku....,1
Mokka ah irukkum nu confirn pannittenga,0
12hours 5m view s  600k like s NKP,0
Thala   U1  Bgm,0
Surya thambi karthi poii karthi oda anna tha surya airuchuu,0
Now you are lying lying lying. Thala mass,0
Namaku thevayanathu nammatha adichi vaanganum...  masssssssss,0
"Deepawali kala katta pothu, bigil, kaithi, sanga thamizhan",0
Common thala fans 1m likes varanum,0
Yeppo million like aagum nu pakka wait pannittu irruka .,0
That Bike is a Modified Duke 200,0
Last dialogue semma...🥰🥰 Thala Tucker doi...,0
Abhay deol,2
thala veriyans. Maddum oru like poddu vidunga bro.,0
Starting Looks like king liar Malayalam movie,2
Good morning Guys  Kaalaila Ezhunthathum Trailer Paakka Vanthavangala Like Podunga,3
Enna Da views ivlo kammiya iruku romba nerama,0
Dai mokka vetri Mara unaku yethrathamanna kathaiyee eduka theriyatha!?,2
Ethir paartha alavu ila .. sadness,0
Sema... Thala merattal.... Movie eppo paaka poromnu romba aarvama irukku... Thala...,0
Ena ipa Trending la varuthu thalaivar eh,0
Karthi annaaaa vera level acting,1
"National award ah , askar ah ?/... Dhanush fanz like",0
Padam peru #Sangathamizhan Producer yaru na #BharathiREDDY :/  What an irony!,1
Anirudh bgmmmmmm Bang bang bang  Petttaaaa paaaraaaaaak,0
Inga Rajini ya pathi mattum comment pannunga nan Vijay sethupathika papen aniruthuka Papen apdina adichu underwearoda oda vituven....Thalaivar forever,0
Viswasam Jan 14 thaane? Clash aavathu ninaikkiren.,3
Trailer la Vidya Balan missing.... Why?,0
Sangar.... Sangar ra etha movie direct pannala,2
"I think sivakarthickku hero getup set aagala, trailer is good,but movie average pogumnu ninaikiravanga like Pannuga",0
Ajith sir 🤩   T H A L A,0
Arjun sir looking very smart and handsome....,0
Attention THALA fans ........INDHA padam BLOCK BUSTER AAguradhukkuu neega dhaan THEATer Ku poooi THALAi Ku  PERIYA flex(katout) VAIKANUMMM,0
20 times ku mela pathavanga like podunga,1
I am big for illaya super star DHANUSH,0
"Simran ,Rajinikanth & Vijay Sethupathi",3
lagta hai main doreman ka cartoon dekh raha hoon,4
i phone vs android nu ninaikiren,0
Trailer la nallathan da irukku padam mokkaiya illama iruntha sari,0
Innoru  Vakkil  Rangaraj pandey dhana avaru,0
"Ini jenmathhuku meethane, hydrocarbon pathhi nenachi kooda paaka mudiyaadhu corporates.. Ela padamum ini adhapathi daan..",3
Thala seekirom theatre ku Va Thala ennala wait panna mudiyala,0
Marana mass... Ungaluku vayasu aanalum andha style apadiye iruku thalaivaaaaaaa,0
U kena tunggu lebih lama lagi  untuk tahu saya   Kita sedang menunggu untuk CHiYaN,4
You kena tunggu lebih lama lagi untuk tau saya,4
Kamala kalasa en thlaivan dance mass ah,0
sakthimaan sollidu thovaikira kallulanthu kila vilunthu adipattavanka like pannuga ( 5 thaiyal enaku ),1
Thala Da i love u thala,0
super super super  super star.,0
Mmmm 1000 times this video see,0
Thalaivarea kaalioda aatatha neenga kaatitinga   Ini thooku thurai oda alaparaiya naalaiku 1.30 ku Paapinga,2
Nanga late ahh vandhalum latest ah varuvom,0
Sema anna Lv u karthi anna,2
How many of you life rajini??,3
Waiting for Judgement day nerkonda paarvai Trailer Marana Mass THALAAAAAAAA.....‍,0
Ippo Yana pana poram? Sweet sapada poram love you thalavaaaaaaaaaa,0
Sethupathi padam pakkum pothu irutha mass scenes niyabagam varudhu,0
The last part vikram says : You kena tunggu lebih lama lagi untuk tau saya,4
Paaaaaaa more thaaan Hollywood range... Excited to have watch over it,2
Like icon ah terika vidalama thala blood's,0
Yow songs epo ya viduvinga BGM verra level ....... #Thala_forever,0
Thaka fans ah iru dha like poduga,0
തല അജിത് kerala fans like here,4
"Thala un rasiganu solla santhsama ,karvama irukku",0
Pandey and Thala argument  Super thala nadakakuduthu,0
1.5M views in 60min அம்மோவ்,0
2020 Fulla un thiruvizha tha dhaunsh Anna,0
Yan daa like podrathu easy nu unga ishtathukku ethuku like athuku comment nu podringlaa ethellaam Oru polappu,3
Mana thalvair epaime gethuda sema inda pongal,0
Indias pride ... Shankar Sir & Team...,0
Gud Morning Thala Bloods.Enna Nanba Readya.Viswasam Trailerku Senja Sambavatha Vida Sirapaa Siyanum.,0
Unga nalla manasuku epayum vettri than THALA ungaluku. phinix  bird thala nenga vizhamattinga,1
1 million likes kondu varanum keep share THALA bloods...,0
Oru channel la sona marie pana matingala daaa dei,0
1:53fight scene kola mass vera level,3
YuvaN       BGM,0
1M like varathu pola nalaki kuda sethu,1
Nee Nadigan Enpadhukaga un Rasigar illa Nalla Manithan...,0
Oruthar mela viswasam katradhukaga inoruthara aen asingapaduthringa    Sema Thala.........,0
intha maari movie tamil cinema la vanthathu ila 1000 movie vanthurukum da,0
Dei yennada marvel maari kondu varinga,2
Not bad........... Any way karthik flop agama.. Iruka...... வாழ்த்துக்கள்,2
waiting Thalapathy 64🤟 # Lokesh kanagaraj,0
Trending no1 thala YOUTUBE KING THALA,0
Vera levelu Thalaivar    Always i love Thalaivar,0
Ajith acting matha movie la ellam nalla irunthathu.but Nerkonda parvai trailer romba Mokkaya Tha iruku...,2
Romba naalaiku apuram Oru 'RAJINI' padam.,0
Sexy shradhaa ava unmeyave virgin ille... Avala poyi kekera kelveeya adhe...,1
Semma MASS Chiyan Vikram Sir  I am waiting,0
